NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1070,1066,597,"(1341533.9999263883, 406968.9999616444)","['WILLIAM ST', 'BORDER']"
1070,1381,379,"(1341533.9999263883, 406968.9999616444)","['WILLIAM ST', 'BORDER']"
1071,904,221,"(1345942.749967143, 399652.5001589805)","['HERVEY ST', 'JONAS WAY']"
1071,1229,428,"(1345942.749967143, 399652.5001589805)","['HERVEY ST', 'JONAS WAY']"
1071,1264,123,"(1345942.749967143, 399652.5001589805)","['HERVEY ST', 'JONAS WAY']"
1072,712,310,"(1338709.4999979734, 403390.9998998046)","['BOGGS AVE', 'MINSINGER ST']"
1072,724,151,"(1338709.4999979734, 403390.9998998046)","['BOGGS AVE', 'MINSINGER ST']"
1073,46,289,"(1338205.7500212193, 403631.0004040599)","['LENA WAY', 'JEANETTE ST']"
1073,646,136,"(1338205.7500212193, 403631.0004040599)","['LENA WAY', 'JEANETTE ST']"
1073,1449,271,"(1338205.7500212193, 403631.0004040599)","['LENA WAY', 'JEANETTE ST']"
1074,534,44,"(1345539.5001174659, 403565.49987889826)","['S 18TH ST', 'QUARRY ST']"
1074,610,1018,"(1345539.5001174659, 403565.49987889826)","['S 18TH ST', 'QUARRY ST']"
1074,768,712,"(1345539.5001174659, 403565.49987889826)","['S 18TH ST', 'QUARRY ST']"
1075,1015,166,"(1345640.4999154657, 401797.25046263635)","['SHERMAN ST', 'LOCUST ST']"
1075,1052,38,"(1345640.4999154657, 401797.25046263635)","['SHERMAN ST', 'LOCUST ST']"
1075,1076,489,"(1345640.4999154657, 401797.25046263635)","['SHERMAN ST', 'LOCUST ST']"
1076,995,629,"(1345813.9998965561, 402254.7502038032)","['LOCUST ST', 'WALNUT ST']"
1076,1053,172,"(1345813.9998965561, 402254.7502038032)","['LOCUST ST', 'WALNUT ST']"
1076,1075,489,"(1345813.9998965561, 402254.7502038032)","['LOCUST ST', 'WALNUT ST']"
1076,1081,149,"(1345813.9998965561, 402254.7502038032)","['LOCUST ST', 'WALNUT ST']"
1077,921,140,"(1341967.7500431389, 402350.0003414005)","['ESTELLA AVE', 'MICHIGAN ST']"
1077,1056,136,"(1341967.7500431389, 402350.0003414005)","['ESTELLA AVE', 'MICHIGAN ST']"
